timestamp,latency,status
2026-05-27 10:30:27.709519,0.0005273818969726562,success
2026-05-27 10:30:29.293731,0.00033402442932128906,success
2026-05-27 10:30:30.902957,0.0003197193145751953,success
2026-05-27 10:30:32.456334,0.00039696693420410156,success
2026-05-27 10:30:34.237878,0.0004191398620605469,success
2026-05-27 10:30:36.535771,0.00030684471130371094,success
2026-05-27 10:30:37.956464,0.00044536590576171875,success
2026-05-27 10:30:39.517422,0.0009670257568359375,success
2026-05-27 10:30:40.766326,0.00033473968505859375,success
2026-05-27 10:30:43.671154,0.00031065940856933594,success
2026-05-27 10:30:50.949221,0.00038695335388183594,failed
2026-05-27 10:30:54.100937,0.0003113746643066406,failed
2026-05-27 10:30:56.879800,0.00040721893310546875,failed
2026-05-27 10:30:59.880158,0.00030422210693359375,failed
2026-05-27 10:31:03.060808,0.00030612945556640625,failed
2026-05-27 11:50:01.838489,0.0004458427429199219,success
2026-05-27 11:50:10.019585,0.00035309791564941406,success
2026-05-27 11:50:17.895880,0.0003058910369873047,success
2026-05-27 11:50:29.546762,0.000423431396484375,failed
2026-05-27 11:50:50.279434,0.0003781318664550781,success
